이름,태그,비고,생성자,첨부 파일,최종 편집 일시
성능 테스트의 중요성과 목적 그리고 효과,"jmeter, ngrinder, performance, test",,이준우,,2024년 1월 24일 오후 2:08
Angular Debugging Guide,"angular, debugging",,이준우,,2024년 1월 24일 오후 2:08
SQL Server 성능 튜닝,"performance, sqlserver, tunning",,이준우,,2024년 1월 24일 오후 3:16
Sparrow 클라우드의 정적/동적 분석,"dast, sast, securecoding, sparrow, websecurity",,이준우,,2024년 1월 24일 오후 3:16
Salevis 서버 셋팅을 위한 가이드 자료,"developer, guide, salevis",,장혜민,,2024년 1월 24일 오후 3:14
특허 관련 프로세스,"govproject, intellectualproperty, patent, procedure, process",,이준우,,2024년 1월 24일 오후 3:15
웹 접근성 관련 점검 툴,"html, web",,장혜민,,2024년 1월 24일 오후 3:15
"이메일 발송시 SPF, DKIM 설정",email,,이준우,,2024년 1월 24일 오후 3:15
Windows 운영 체제에 파이썬 설치 어떻게 하나요?,"installation, python, windows",,이준우,,2024년 1월 24일 오후 2:06
DBCP 라이브러리 수정을 통한 Commnuication Error 수정,"dbcp, java, mysql, spring",,이준우,,2024년 1월 24일 오후 3:32
Windows 운영 체제에 여러 버전의 파이썬 설치 시 원하는 버전 선택 어떻게 하나요?,"python, windows",,장혜민,,2024년 1월 24일 오후 2:08
Windows 운영 체제 시작 시 파이썬 스크립트 자동 실행 어떻게 하나요?,"automation, python, rpa, windows",,장혜민,,2024년 1월 24일 오후 2:09
TTA 의 V&V 시험 관련,tta,,이준우,,2024년 3월 20일 오후 4:06
"angular 웹 소스를 apache 서버에 배포할 때, 하위 url 로 이동 후 refresh 문제",angular,,이준우,,2024년 1월 24일 오후 3:32
파이썬으로 큰 파일을 어떻게 읽어야 하나요?,"dataframe, error, out-of-memory, pandas, python",,장혜민,,2024년 1월 24일 오후 2:11
인텔리J 한글 깨짐(인코딩) 처리,intellij,,이준우,,2024년 1월 24일 오후 3:30
동적으로 생성되는 HTML TABLE의 ROWSPAN과 COLSPAN 처리는 어떻게 하나요?,"html, jquery",,장혜민,,2024년 1월 24일 오후 2:12
메일서버 설정시 스팸 방지 설정,"email, spam, spf",,이준우,,2024년 1월 24일 오후 3:32
웹 어플리케이션 보안 가이드,"java, security, web",,이준우,,2024년 1월 24일 오후 3:31
Angular 개발 환경 구축 방법,"angular, developer, salevis",,장혜민,,2024년 1월 24일 오후 2:12
intelliJ IDEA에서 Gradle 사용 시 exploded 가 안될때는 어떻게 하나요?,"deploy, gradle, intellij, java",,장혜민,,2024년 1월 24일 오후 2:14
피그마를 이용하여 효율적으로 협업하기 위한 기본 단축키 공유,"design, figma, guide, shortcut",,이준우,,2024년 1월 24일 오후 3:30
XSS 시큐어코딩 지적 사항 해결 절차1,xss,,이준우,,2024년 1월 24일 오후 3:30
MS 팀즈에서 stackoverflow 에 등록된 정보 검색 및 공유하는 방법,"guide, teams",,이준우,,2024년 1월 24일 오후 3:30
Angular 12 템플릿 정보,angular,,장혜민,,2024년 1월 24일 오후 2:14
Windows / Linux 서버 보안 취약점 설정,"apache, iis, security, tomcat",,장혜민,,2024년 1월 24일 오후 2:16
화상/전화 상담 하는데 상담사 목소리가 들리지 않아요! 해결 방법을 알려주세요,"call, sendbird, videocall, voicecall",,이준우,,2024년 1월 24일 오후 3:30
WESEED Mind 화상통화 개발 현황 및 SendBird API 연동 가이드,"api, sendbird, videocall",,이준우,,2024년 1월 24일 오후 3:30
Docker에 Oracle 11g 설치,"docker, oracle",,장혜민,,2024년 1월 24일 오후 2:16
운영서버 세팅 시 Salevis 라이센스 키 발급 절차,"java, license, salevis, server",,이준우,,2024년 1월 24일 오후 3:30
운영서버 세팅 시 Salevis 라이센스 키 발급 절차,"java, license, salevis, server",,장혜민,,2024년 1월 24일 오후 3:15
servlet-mapping 이 적용되지 않을 때,"apache, img, servlet, tomcat, vhost",,이준우,,2024년 1월 24일 오후 3:29
백엔드에서 여러개의 쿼리 작업을 한번에 하는 api 를 만드는 방법,"backend, java, spring",,이준우,,2024년 1월 24일 오후 3:29
Wiki-Backend 개발 가이드-MyBatis mapper 에서 foreach 를 사용하여 여러개의 sql 실행,"foreach, mapper, mybatis",,이준우,,2024년 1월 24일 오후 3:29
Wiki-Backend 개발 가이드-REDIS 세션정보를 저장하는,redis,,이준우,,2024년 1월 24일 오후 3:29
MySQL 로그설정,mysql,,이준우,,2024년 1월 24일 오후 3:29
"UTC to Local 설정 ",,,최원영,,2024년 4월 16일 오전 8:05
MySQL 환경설정,"guide, mysql",,이준우,,2024년 1월 24일 오후 3:29
Tomcat 구동이 느린 경우,tomcat,,이준우,,2024년 1월 24일 오후 3:29
"Salevis 서버 설치-Salevis 서버 설치 정보 (Apache, Tomcat, Redis, 보안 취약점 설정)","ajp, apache, redis, salevis, tomcat",,이준우,,2024년 1월 24일 오후 2:41
Salevis Care 자동 발송 개발 가이드,"salevis, saleviscare",,이준우,,2024년 1월 24일 오후 3:28
eclipse 에서 common-api project dependency 설정,"configuration, eclipse, project",,이준우,,2024년 1월 24일 오후 3:28
anaconda 오프라인 환경 설치,"anaconda, installation, python, windows",,이준우,,2024년 1월 24일 오후 3:28
MySQL DB 테이블 명세서 작성 쿼리,"database, mysql, table",,이준우,,2024년 1월 24일 오후 3:28
Windows / Linux 서버 보안 취약점 설정,"apache, iis, security, tomcat",,이준우,,2024년 1월 24일 오후 3:27
"Mybatis에서 기간 (시작일, 종료일) 검색 쿼리","mybatis, sql",,이준우,,2024년 1월 24일 오후 3:26
Lombok 모듈 eclipse 활성화하는 방법,"eclipse, lombok",,이준우,,2024년 1월 24일 오후 3:26
Angular DeepCopy 관련 정보,angular,,이준우,,2024년 1월 24일 오후 3:26
고객사 유지보수용 IP (61.35.16.253) 외부 접속 방법-61.35.16.253 공인 IP를 VPN으로 접속,"ip, vpn",,이준우,,2024년 1월 24일 오후 3:21
세종Agent 개발 관련-에러코드 924 - campaignimplcustomer.ResultCode,"campaignimplcustomer, resultcode, sms",,이준우,,2024년 1월 24일 오후 3:21
세종Agent 개발 관련-중복에러 기준,"agent, sms",,이준우,,2024년 1월 24일 오후 3:21
세종Agent 개발 관련-세종 Agent 결과코드,"agent, sms",,이준우,,2024년 1월 24일 오후 3:19
Troubleshooting - 문제해결-gulp serve:dist 시 FATAL ERROR: CALL_AND_RETRY_LAST Allocation failed - JavaScript heap out of memory,"gulp, javascript, servedist",,이준우,,2024년 1월 24일 오후 3:19
Troubleshooting - 문제해결-footable 문제,"footable, troubleshooting",,이준우,,2024년 1월 24일 오후 3:19
Troubleshooting - 문제해결-백엔드프레임워크 pom.xml 수정사항,troubleshooting,,이준우,,2024년 1월 24일 오후 3:19
Frontend 개발 가이드-이 웹 사이트가 Internet Explorer 에서 작동하지 않음 처리,"explorer, internet",,이준우,,2024년 1월 24일 오후 3:19
Frontend 개발 가이드-angularjs 모듈에서 modalFactory 를 사용한 modal 창 사이즈 커스터마이징하기,"angularjs, modal, modalfactory",,이준우,,2024년 1월 24일 오후 3:19
Frontend 개발 가이드-웹 성능 지표,web,,이준우,,2024년 1월 24일 오후 3:19
Frontend 개발 가이드-상세/추가/수정 페이지에서 데이터 저장/삭제 후 reload 처리,reload,,이준우,,2024년 1월 24일 오후 3:19
Frontend 개발 가이드-파일명과 폴더구성 규칙,filename,,이준우,,2024년 1월 24일 오후 3:20
"Frontend 개발 가이드-Javascript defer , async 설정","async, defer, javascript",,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드- Frontend 속도 향상 가이드,frontend,,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-html 에 있는 javascript 에서 angularjs controller 접근하기,"angularjs, controller, html, javascript",,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-Browser Sync 를 비활성화 하여 동시에 여러 화면 띄우기,"async, browser",,이준우,,2024년 1월 24일 오후 3:20
"Frontend 개발 가이드-Region 사용, 함수 parameter 주석 추가","parameter, region",,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-다른 목록페이지 이동시에도 fa-pane size 유지하기 (split bar 위치 유지),"pane, size, split",,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-ng-required 사용방법,required,,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-ESLint와 Prettier 사용,"eslint, prettier",,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-fapane 목록화면에서의 미디어 쿼리,fapane,,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-FE 개발 가이드 문서 (Gitlab),"frontend, gitlab",,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-메타정보관리 화면 기능 개선,frontend,,이준우,,2024년 1월 24일 오후 3:20
Frontend 개발 가이드-jQuery 와 DOM 접근을 사용하지 않기,"dom, jquery",,이준우,,2024년 1월 24일 오후 3:21
"Frontend 개발 가이드-LeftMenu(nav-state:xs,md) 스크롤 시 2depth 메뉴 위치 이슈","2depth, leftmenu, nav, statexs",,이준우,,2024년 1월 24일 오후 3:21
Frontend 개발 가이드-select form-control 속도 느린문제,"control, select",,이준우,,2024년 1월 24일 오후 3:21
"Frontend 개발 가이드-CSS, datepicker style","css, datepicker, style",,이준우,,2024년 1월 24일 오후 3:21
"Frontend 개발 가이드-HTML, table 표시","frontend, html, table",,이준우,,2024년 1월 24일 오후 3:18
Frontend 개발 가이드-FE 초기 설정,frontend,,이준우,,2024년 1월 24일 오후 3:18
Salevis 서버 설치-Tomcat 운영 가이드,tomcat,,이준우,,2024년 1월 24일 오후 3:18
Salevis 서버 설치-Open Source Version,"open, salevis, source, version",,이준우,,2024년 1월 24일 오후 3:18
메일서버 (hMail Server)-Window server용 무료 SMTP / POP3 메일 서버,"hmail, pop3, server, smtp, window",,이준우,,2024년 1월 24일 오후 3:19
ORACLE 개발 가이드-MyBatis 다중쿼리,"mybatis, oracle",,이준우,,2024년 1월 24일 오후 3:17
ORACLE 개발 가이드-키채번 방법,way,,이준우,,2024년 1월 24일 오후 3:17
개발 공통-링크 처리 정규표현식(Regex),regex,,이준우,,2024년 1월 24일 오후 3:17
개발 공통-Windows 서버에 서버 세팅방법,windows,,이준우,,2024년 1월 24일 오후 3:16
개발 공통-Angular cli 설정,"angular, cli",,이준우,,2024년 1월 24일 오후 3:16
"개발 공통-NVM, Node 설치 가이드","node, nvm",,이준우,,2024년 1월 24일 오후 3:16
개발 공통-이 기종 DB Link,"db, link",,이준우,,2024년 1월 24일 오후 3:16
개발 공통-코딩스타일 가이드,"coding, guide",,이준우,,2024년 1월 24일 오후 3:16
개발 공통-WEB/WAS GZIP 설정을 통한 성능 향상,"gzip, was, web",,이준우,,2024년 1월 24일 오후 3:17
개발 공통-WEB/WAS 시스템 보안 점검 항목,"was, web",,이준우,,2024년 1월 24일 오후 3:17
개발 공통-Unicode Character 'ZERO WIDTH SPACE' (U+200B) - Eclipse 나 메모장 등 웬만한 에디터에서는 보이지 않음,"character, eclipse, unicode, zero",,이준우,,2024년 1월 24일 오후 3:17
Wiki-Backend 개발 가이드-Saleviscare 서버 설정에서 tomcat-care.pid 에 process no 가 rotatelog process no 가 저장 되는 문제,"process, rotatelog, saleviscare, tomcat",,이준우,,2024년 1월 24일 오후 3:17
개발 공통-자주 사용하는 Git 명령어,"cheat, git, gitlab, sheet",,이준우,,2024년 1월 24일 오후 3:17
개발 공통-Softzion 프로젝트 산출물 템플릿,softzion,,이준우,,2024년 1월 24일 오후 3:17
Wiki-Backend 개발 가이드-Saleviscare 의 campaignimplcustomer 테이블와 과거 데이터를 campaignimplcustomerbak 으로 이관하는 쿼리,"campaignimplcustomer, campaignimplcustomerbak, saleviscare",,이준우,,2024년 1월 24일 오후 3:17
Wiki-Backend 개발 가이드-MySQL 달력 만들기,mysql,,이준우,,2024년 1월 24일 오후 3:17
Wiki-Backend 개발 가이드-Mybatis mapper 파일 수정시 자동 refresh,"mapper, mybatis, refresh",,이준우,,2024년 1월 24일 오후 3:17
주피터 노트북이 OOM으로 인해 열리지 않는 경우,"dataframe, jupyter-notebook, oom, out-of-memory, python",,장혜민,,2024년 1월 24일 오후 2:21
IntelliJ IDEA 실행 시 android JDK 설정 화면,"idea, intellij, java",,장혜민,,2024년 1월 24일 오후 2:22
SQL - LEFT JOIN 사용시 주의,sql,,장혜민,,2024년 1월 24일 오후 2:22
SPF 등록 가이드,"email, spam, spf",,장혜민,,2024년 1월 24일 오후 2:23
Backend 개발 가이드-BE 개발 가이드 문서 (Gitlab),gitlab,,장혜민,,2024년 1월 24일 오후 2:23
Backend 개발 가이드-SQL - LEFT JOIN 사용시 주의,"left-join, sql",,장혜민,,2024년 1월 24일 오후 2:24
Backend 개발 가이드-SPF 등록 가이드,"guide, spf",,장혜민,,2024년 1월 24일 오후 2:25
Backend 개발 가이드-UTC 적용,utc,,장혜민,,2024년 1월 24일 오후 2:26
Backend 개발 가이드-log4j2 전체 쿼리 Log 설정,"log, log4j2, setting",,장혜민,,2024년 1월 24일 오후 2:36
"Backend 개발 가이드-RoleScreen, Screen 테이블의 필요 없는 데이터 정리","data, rolescreen, screen",,장혜민,,2024년 1월 24일 오후 2:37
Wiki-Backend 개발 가이드-MySQL 개인정보 필드 암호화,mysql,,장혜민,,2024년 1월 24일 오후 2:37
Wiki-Backend 개발 가이드-Java 소스코드에서 MyBatis interceptor 의 의한 암호화,"interceptor, java, mybatis",,장혜민,,2024년 1월 24일 오후 2:38
"Wiki-Backend 개발 가이드-Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=’","illegal, operation, utf8mb4-general-ci, utf8mb4-unicode-ci",,장혜민,,2024년 1월 24일 오후 2:39
Wiki-Backend 개발 가이드-JAVA 벡엔드 동일 API 반복호출 방지 방안,"api, java",,장혜민,,2024년 1월 24일 오후 2:40
Wiki-Backend 개발 가이드-REDIS 세션정보를 저장하는,redis,,장혜민,,2024년 1월 24일 오후 2:42
Wiki-Backend 개발 가이드-SSL 인증서 발급절차,ssl,,장혜민,,2024년 1월 24일 오후 2:42
"Wiki-Backend 개발 가이드-WEB, WAS 서버 SSL 적용 방법","ssl, was, web",,장혜민,,2024년 1월 24일 오후 2:43
"Wiki-Backend 개발 가이드-서버 백업 설정 (파일, DB)","backup, db",,장혜민,,2024년 1월 24일 오후 2:44
Wiki-Backend 개발 가이드-리눅스 디스크 용량 체크 명령어,"command, disk, linux",,장혜민,,2024년 1월 24일 오후 2:44
Wiki-Backend 개발 가이드-MySQL에서 Insert/Update,"insert, mysql, update",,장혜민,,2024년 1월 24일 오후 2:45
Wiki-Backend 개발 가이드-ORACLE에서 Insert/Update,"insert, oracle, update",,장혜민,,2024년 1월 24일 오후 2:45
Wiki-Backend 개발 가이드-Tomcat server 에 JNDI 설정,"jndi, server, tomcat",,장혜민,,2024년 1월 24일 오후 2:50
Wiki-Backend 개발 가이드-MyBatis mapper 에서 foreach 를 사용하여 여러개의 sql 실행,"foreach, mapper, mybatis",,장혜민,,2024년 1월 24일 오후 2:51
Wiki-Backend 개발 가이드-MyBatis ORACLE에서 다중쿼리 실행,"mybatis, oracle",,장혜민,,2024년 1월 24일 오후 2:52
Wiki-Backend 개발 가이드-userkey 생성방법 변경,userkey,,장혜민,,2024년 1월 24일 오후 2:52
Wiki-Backend 개발 가이드-Wiki-Backend 개발 가이드,"backend, wiki, wiki-backend",,장혜민,,2024년 1월 24일 오후 2:53
Wiki-Backend 개발 가이드-MySQL 테이블 명세서 출력 쿼리,mysql,,장혜민,,2024년 1월 24일 오후 2:54
Wiki-Backend 개발 가이드-mapper 파일명 및 필드명 네이밍 규칙,mapper,,장혜민,,2024년 1월 24일 오후 2:54
Wiki-Backend 개발 가이드-MariaDB에서 테이블명세서 추출 쿼리,"db, mariadb",,장혜민,,2024년 1월 24일 오후 2:55
Wiki-Backend 개발 가이드-원격디버깅,"debugging, remote",,장혜민,,2024년 1월 24일 오후 2:55
Wiki-Backend 개발 가이드-이클립스에 tab to space 설정하기,"space, tab",,장혜민,,2024년 1월 24일 오후 2:56
Wiki-Backend 개발 가이드-MySQL 에서 DB LOCK 조회,"db, lock, mysql",,장혜민,,2024년 1월 24일 오후 2:56
Wiki-Backend 개발 가이드-rotatelogs 를 이용한 tomcat 서버 catalina.out 날짜별 생성,"catalina, rotatelogs, tomcat",,장혜민,,2024년 1월 24일 오후 2:59
"Wiki-Backend 개발 가이드-ORACLE 테이블스페이스생성, 사용자생성",oracle,,장혜민,,2024년 1월 24일 오후 2:59
Wiki-Backend 개발 가이드-Spring 스케줄러 CRON 표현식,"cron, spring",,장혜민,,2024년 1월 24일 오후 3:00
Wiki-Backend 개발 가이드-MyBatis 에 RefreshableSqlSessionFactoryBean 적용으로 서버 재시작 없이 수정된 SQL문 즉시 적용,"mybatis, refreshablesqlsessionfactorybean",,장혜민,,2024년 1월 24일 오후 3:01
Wiki-Backend 개발 가이드-Mysql 페이징 속도 개선 방법,"mysql, paging",,장혜민,,2024년 1월 24일 오후 3:01
Wiki-Backend 개발 가이드-동일 API 반복호출로 데이터가 중복저장 되는 문제 방지 방안 (보안점검),api,,장혜민,,2024년 1월 24일 오후 3:01
"Wiki-Backend 개발 가이드-톰캣 한글 깨짐 (웹 페이지 한글 깨짐, 한글 입력 안됨, 로그 한글 깨짐)",tomcat,,장혜민,,2024년 1월 24일 오후 3:02
Wiki-Backend 개발 가이드-대용량 엑셀 다운로드,excel,,장혜민,,2024년 1월 24일 오후 3:03
Wiki-Backend 개발 가이드-자바 유료/무료 버전,java,,장혜민,,2024년 1월 24일 오후 3:03
Wiki-Backend 개발 가이드-하나의 API 에서 Mybatis 의 Interceptor 는 두번 호출되지 않는 구조,"api, interceptor, mybatis",,장혜민,,2024년 1월 24일 오후 3:04
Wiki-Backend 개발 가이드-Telnet 으로 메일 보내기 테스트,telnet,,장혜민,,2024년 1월 24일 오후 3:05
Wiki-Backend 개발 가이드-Apache 1개에 Tomcat 2개 띄우기,"apache, tomcat",,장혜민,,2024년 1월 24일 오후 3:05
Wiki-Backend 개발 가이드-AJP 설정,ajp,,장혜민,,2024년 1월 24일 오후 3:06
Wiki-Backend 개발 가이드-SMTP 메일보내기에서 SSL 접속오류,"smtp, ssl",,장혜민,,2024년 1월 24일 오후 3:06
Wiki-Backend 개발 가이드-MS SQL 만년 달력 테이블 생성,"ms, sql",,장혜민,,2024년 1월 24일 오후 3:07
"오라클 테이블, 컬럼별 데이터 건수 확인 쿼리","oracle, sql",,최원영,,2024년 2월 5일 오후 5:33
카카오 커머스 Angular 도입 활용 사례,angular,,최원영,,2024년 2월 5일 오후 4:58
연구소 주간 보고서 (2023년 자료),softzion,"2023년 연구소 주간보고서 엑셀 파일 ",최원영,%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%80%E1%85%AE%E1%84%89%E1%85%A9%20%E1%84%8B%E1%85%B1%E1%84%8F%E1%85%B5%2054225193d0384db38b2c7e8f6506d139/%25EC%2597%25B0%25EA%25B5%25AC%25EC%2586%258C_%25EC%25A3%25BC%25EA%25B0%2584%25EB%25B3%25B4%25EA%25B3%25A0%25EC%2584%259C(2023).xlsx,2024년 1월 29일 오후 3:53
