Title,Contents
Backend 개발 가이드-SPF 등록 가이드,"### 내용
스팸 메일 인식율을 줄이기 위해서 메일서버에 SPF 등록을 위한 가이드 자료입니다.
---
### 답변
[https://helpdesk.midasinsight.com/hc/ko/articles/900000287723--%EA%B0%80%EC%9D%B4%EB%93%9C-SPF-%EB%93%B1%EB%A1%9D-%EA%B0%80%EC%9D%B4%EB%93%9C](https://helpdesk.midasinsight.com/hc/ko/articles/900000287723--%EA%B0%80%EC%9D%B4%EB%93%9C-SPF-%EB%93%B1%EB%A1%9D-%EA%B0%80%EC%9D%B4%EB%93%9C)
스팸 메일 인식율을 줄이기 위해서 메일서버에 SPF 등록을 위한 가이드 자료입니다."
Backend 개발 가이드-SQL - LEFT JOIN 사용시 주의,"```r
SELECT
...
FROM
campaignimplcustomer C LEFT JOIN tenantcustomer T ON C.CustId = T.CustId
WHERE
C.TenantId = CONV( #{srchTenantId}, 36, 10 ) AND T.TcId = CONV(#{keyId}, 36, 10)
와 같이 조건문을 사용하면 tenantcustomer 에 CustId 가 없는 항목이 SELECT 가 되지 않으므로 LEFT JOIN 의 의미가 없으므로 반드시 아래와 같이 사용해야 됩니다.
SELECT
...
FROM
campaignimplcustomer C LEFT JOIN tenantcustomer T ON C.CustId = T.CustId AND T.TcId = CONV(#{keyId}, 36, 10)
WHERE
C.TenantId = CONV( #{srchTenantId}, 36, 10 )
```"
Backend 개발 가이드-UTC 적용,"```sql
vm options 에 추가
-Duser.timezone=UTC
만료일 관련 UTC 시간 처리를 위하여,
프론트에 localtoutc 필터에 to 옵션을 추가하였습니다.
이 필터와 동일하여 만료일을 서버상의 DB에서 계산하기 위해 다음 쿼리문을 사용합니다.
방안1 : 아래와 같이 바꾸고 싶은 날짜를 '23:59:59'를 강제로 붙여서 UTC 시간으로 CONVERT 합니다.
CONVERT_TZ(DATE_FORMAT('2021-07-31', '%Y-%m-%d 23:59:59'), 'Asia/Seoul', 'UTC');
CONVERT_TZ(DATE_FORMAT(NOW(), '%Y-%m-%d 23:59:59'), 'Asia/Seoul', 'UTC');
하지만, 문제가 있습니다. 예를 들어 NOW() 시간이 오전 9시 이전이라면 날짜계산이 잘 못 됩니다.
예를 들어, 로컬시간이 '2021-07-31 08:00:00'인 경우 서버에서 NOW() 는 '2021-07-30 23:00:00' 와 같이 됩니다.
CONVERT_TZ(DATE_FORMAT('2021-07-30 23:00:00', '%Y-%m-%d 23:59:59'), 'Asia/Seoul', 'UTC')  -> 2021-07-30 14:59:59
방안2 : 따라서 아래와 같이 로컬시간으로 한번 바꿨다가 다시 UTC 시간으로 바꾸는 과정이 필요합니다.
CONVERT_TZ(DATE_FORMAT(CONVERT_TZ('2021-07-30 23:00:00', 'UTC', 'Asia/Seoul'), '%Y-%m-%d 23:59:59'), 'Asia/Seoul', 'UTC')  -> 2021-07-31 14:59:59
따라서, 날짜를 지정하는 경우와 NOW() 로 날짜를 얻는 경우 공통으로 사용하기 위해 다음과 같은 형식이면 되겠습니다.
CONVERT_TZ(DATE_FORMAT(CONVERT_TZ('2021-07-31', 'UTC', 'Asia/Seoul'), '%Y-%m-%d 23:59:59'), 'Asia/Seoul', 'UTC');
﻿     CONVERT_TZ(DATE_FORMAT(CONVERT_TZ(NOW(), 'UTC', 'Asia/Seoul'), '%Y-%m-%d 23:59:59'), 'Asia/Seoul', 'UTC');
mysql 에서 convert_tz 함수에서 'UTC', 'Asia/Seoul' 옵션을 사용할 수 없어서, '+00:00', '+09:00' 옵션으로 변경필요합니다.
CONVERT_TZ(DATE_FORMAT(CONVERT_TZ('2021-07-31', '+00:00', '+09:00'), '%Y-%m-%d 23:59:59'), '+09:00', '+00:00');
CONVERT_TZ(DATE_FORMAT(CONVERT_TZ(NOW(), '+00:00', '+09:00'), '%Y-%m-%d 23:59:59'), '+09:00', '+00:00');
```"
DBCP 라이브러리 수정을 통한 Commnuication Error 수정,"안녕하세요, 임선규 연구원입니다.
현재 WeSeed Mind에서 간헐적으로 발생하는 communication error, 즉 이미 끊긴 db connection에 연결하여 쿼리가 제대로 작동하지 않는 에러에 대해 프로젝트의 dbcp설정값을 바꿔가며 test중입니다.
현재, Weseed Mind에서는 commons-dbcp의 버전을 올려 1.4버전 대신 2.7.0 버전을 사용하고 있습니다.
dbcp의 버전이 갱신됨에 따라 일부 connection parameter들의 명칭이 변경되었으며, 추가적으로 유효한 db connection 구성을 위해 다음과 같이 세팅을 완료했습니다.
---
> DBCP 버전 변경
>
>
> [https://carrotweb.tistory.com/246](https://carrotweb.tistory.com/246)
>
> 현재 해당 설정 적용 후 예후를 지켜보고 있으며, 현재까지의 경과를 말씀드리자면
>
> 1일 간 2~3회 발생하던 communication error가 이틀에 한번 꼴로 빈도가 줄었음을 확인했습니다.
>
> 앞으로 추가적인 테스트를 통해 최적의 설정값을 찾아 공유드리고자 하나, 현재 담당하신 프로젝트에서 해당 에러의 빈도가 너무 잦다고 생각되신다면 dbcp의 세팅을 위와 같이 변경해 보시는 것도 고려해주시면 감사하겠습니다.
>
> 배포하실 때는 build 후 기존 운영서버에 있는 commons-dbcp.1.4.jar를 삭제하신 후 프로젝트에서 build된 commons-dbcp jar파일을 업로드하시면 됩니다.
>
> 세팅하실 때의 유의점은 다음과 같습니다.
>
> timeBetweenEvictionRunsMillis의 값이 DB의 wait_timeout 값보다 크면 안됩니다.
>
> numTestsPerEvictionRun의 값은 해당 서비스를 이용할 사용자 수에 비례해 유연하게 설정하시기 바랍니다.
>
> softMinEvictableIdleTimeMillis 설정은 아직 시험단계입니다. 실 적용 때는 설정하지 않으셔도 무방합니다.
>
```xml
<bean id=""dataSource"" class=""org.apache.commons.dbcp2.BasicDataSource"" destroy-method=""close"">
<property name=""driverClassName"" value=""net.sf.log4jdbc.sql.jdbcapi.DriverSpy""/>
<property name=""url"" value=""jdbc:log4jdbc:mysql://61.35.16.250:13306/simddle?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&autoReconnectForPools=true&verifyServerCertificate=false&useSSL=false&serverTimezone=UTC""/>
<property name=""username"" value=""****"" />
<property name=""password"" value=""****"" />
<property name=""initialSize"" value=""5""/>
<property name=""maxTotal"" value=""20""/>
<property name=""minIdle"" value=""5""/>
<property name=""maxWaitMillis"" value=""3000""/>
<property name=""poolPreparedStatements"" value=""true""/>
<property name=""maxOpenPreparedStatements"" value=""50""/>
<property name=""validationQuery"" value=""select 1""/>
<property name=""testWhileIdle"" value=""true""/>
<property name=""timeBetweenEvictionRunsMillis"" value=""600000""/>
<property name=""numTestsPerEvictionRun"" value=""6""/>
<property name=""minEvictableIdleTimeMillis"" value=""-1""/>
<property name=""softMinEvictableIdleTimeMillis"" value=""300000""/>
</bean>
```"
Docker에 Oracle 11g 설치,"Docker에 Oracle 11g 설치
[https://afsdzvcx123.tistory.com/entry/Docker-%EC%98%A4%EB%9D%BC%ED%81%B4-11g-%EC%BB%A8%ED%85%8C%EC%9D%B4%EB%84%88-%EC%8B%A4%ED%96%89-%EB%B0%8F-%EB%B3%BC%EB%A5%A8-%EC%84%A4%EC%A0%95%ED%95%98%EA%B8%B0](https://afsdzvcx123.tistory.com/entry/Docker-%EC%98%A4%EB%9D%BC%ED%81%B4-11g-%EC%BB%A8%ED%85%8C%EC%9D%B4%EB%84%88-%EC%8B%A4%ED%96%89-%EB%B0%8F-%EB%B3%BC%EB%A5%A8-%EC%84%A4%EC%A0%95%ED%95%98%EA%B8%B0)"
eclipse 에서 common-api project dependency 설정,"# **common-api 소스를 디버깅 하기 위함**
project properties 창에서
- Java Build Path -> Projects 탭 -> common-api 프로젝트 추가
- Project References -> common-api 선택
pom.xml 에서 common-api 부분 삭제
WEB-INF/lib/common-api.jar 파일 삭제"
Frontend 개발 가이드- Frontend 속도 향상 가이드,"[https://www.smashingmagazine.com/2021/01/front-end-performance-2021-free-pdf-checklist/](https://www.smashingmagazine.com/2021/01/front-end-performance-2021-free-pdf-checklist/)
위 링크를 참조해주시길 바랍니다."
Frontend 개발 가이드-angularjs 모듈에서 modalFactory 를 사용한 modal 창 사이즈 커스터마이징하기,"html 또는 css 파일에 아래를 선언
.ctrl-kakaomapconfigmodalctrl-wrap .modal-dialog {
width: 1200px;
}
js 파일에서 다음과 같이 모달을 호출할 때, controller name 인 KakaomapConfigModalCtrl 를 소문자로 변경하여
생성된 ctrl-kakaomapconfigmodalctrl-wrap 이 css class 명으로 사용되기 때문에 위와 같이 스타일을 지정하면 됩니다.
var ctrl = 'KakaomapConfigModalCtrl as vc';
modalFactory.open('lg', 'components/modal/kakaomap/kakaomap-config-modal.html', ctrl, paramData);"
Frontend 개발 가이드-Browser Sync 를 비활성화 하여 동시에 여러 화면 띄우기,"gulp serve 로 개발용서버를 띄우면 browsersync 가 작동하여서, 소스를 고치면 browser 에 바로 반영이 되어 편리합니다.
하지만, 단점으로 browser 여러개를 열었을 때, 화면이 동시에 움직이는 문제가 있습니다.
browser 두개를 동시에 쓰기 위해서 [http://localhost:3001](http://localhost:3001/) 으로 접속하여 Sync Options 메뉴에서 Sync 를 Disable 시킬 수 있습니다.
browser sync 를 disable 시키면 소스를 고쳤을 때 browser 가 자동 갱신이 되지 않기 때문에 새로 고침을 해야 됩니다."
"Frontend 개발 가이드-CSS, datepicker style","```css
datepicker 에 마우스오버시 날짜사이즈가 늘어나는 문제점을 아래를 지정하여 보완해 주세요.
MMG, 삼영RPMS 등에 모두 적용해 주세요.
.datepicker .btn-default {
border: 1px solid #dee;
...
}
기존에는 아래와 같이 되어 있습니다.
.datepicker .btn-default {
border-width: 0;
...
}
```"
Frontend 개발 가이드-ESLint와 Prettier 사용,"[https://feynubrick.github.io/2019/05/20/eslint-prettier.html](https://feynubrick.github.io/2019/05/20/eslint-prettier.html)
위 링크를 참조해주시기 바랍니다."
Frontend 개발 가이드-fapane 목록화면에서의 미디어 쿼리,"fapane (화면분할기능, 스프릿트 기능) 이 적용된 화면의 목록화면에서 col-sm-6 와 같은 bootstrap 의 미디어 쿼리를 사용할 때,
화면 전체 영역(app 영역) 의 폭에 따라서 미디어 쿼리가 동작하고, 화면이 분할된 상태에서 화면분할 사이즈를 조정해도 미디어 쿼리가 제대로 동작하지 않는 문제가 있었습니다.
이를 위해 custom-media-width-size.css 에 다음 2 Lines 을 추가해 주세요.
[fapane-size=sm] .showlevel3 { display: none; }  <-- 기존
[fapane-size=sm] .showlevel2 { display: none; }   <-- 기존
[fapane-size=md] .showlevel3 { display: none; }  <-- 기존
[fapane-size=sm] .col-sm-hidden { display: none; }  <-- 추가
[fapane-size=xs] .col-xs-hidden { display: none; }  <-- 추가"
Frontend 개발 가이드-FE 개발 가이드 문서 (Gitlab),"[FrontEnd_DevelopmentGuide.pptx · master · Softzion / civasan-web · GitLab](https://gitlab.com/softzionrnd/civasan-web/-/blob/master/FrontEnd_DevelopmentGuide.pptx)
위 링크를 참조해주시기 바랍니다."
Frontend 개발 가이드-FE 초기 설정,"1. npm install
2. npm i bower
3. (bower 설치 실패시 windows-build-tool 설치 필요함, [https://nhj12311.tistory.com/27](https://nhj12311.tistory.com/27)
4. bower install -> Answer? 1번 salevis 선택
5. bower_components_custom 폴더를 bower_components 폴더로 덮어쓰기 (bower 모듈에서 부득이 수정한 부분은 별도로 버전 관리함)
6. npm i -g gulp
7. gulp serve"
Frontend 개발 가이드-html 에 있는 javascript 에서 angularjs controller 접근하기,"html 에 있는 javascript 에서 angularjs controller 접근하기
---
```jsx
1. foo.html 파일
<script>
function accessController() {
angular.element(document.getElementById('idFoo')).scope().showMessage();
}
</script>
<div id=""idFoo"" ng-controller=""FooCtrl as vc"">
<a href="""" onclick=""accessController();"">Show Hello world</a>
<span ng-bind=""fooMessage""></span>
</div>
2. foo-ctrl.js 파일
app.controller('FooCtrl', function($scope) {
$scope.showMessage = function () {
console.log('hello world.');
$scope.fooMessage = 'Hello World !!!';
};
}
```"
"Frontend 개발 가이드-HTML, table 표시","목록에서 데이터가 없을 때,
<td class=""text-center"" colspan=""N"">{{ 'MSG.NO_DATA' | translate }}</td>
를 표시하면서 N 값이 일정하지 않아 테이블이 깨지는 경우가 있습니다.
이를 위해 N 값을 가변하거나, 여러문장으로 처리하는 경우가 있는데,
아래와 같이 table 바깥으로 빼서 처리해 주세요.
```xml
<table class=""table table-striped ...."">
<thead>....</thead>
<tbody ng-if=""vc.totalItems > 0"">....</tbody>
</table>
<div ng-if=""vc.totalItems == 0"" class=""text-center form-control"">
{{ 'MSG.NO_DATA' | translate }}
</div>
```"
"Frontend 개발 가이드-Javascript defer , async 설정","[https://kimlog.me/js/2019-10-05-script/](https://kimlog.me/js/2019-10-05-script/)
위 링크를 참조해주시기 바랍니다."
Frontend 개발 가이드-jQuery 와 DOM 접근을 사용하지 않기,"angular9, native script, angular universal 등 최신기술의 프론트엔드 프레임워크를 사용할 때, DOM 을 접근하는 방식은 더 이상 사용할 수 없게 됩니다. 따라서 jquery 를 사용할 수 없게 되는데, 기본적으로 jquery 의 DOM을 쉽게 접근하여 사용할수 있는 막강한 기능때문에 프론트엔드 프레임워크 배포 및 빌드시 오류가 나므로 jquery 를 더 이상 사용할 수 없게 됩니다. 또한, javascript 에서 DOM 을 접근하는 기능도 사용할 수 없습니다.
그 동안 잘 사용해 왔던 jquery 함수들을 아쉽지만 앞으로는 javascript 함수로 작성을 해야 겠군요.
$.each 도 javascript 의 foreach 나 for 함수로 바꿔서 사용해야 되는 것이지요.
DOM 을 사용할 수 없다는 것을 그림으로 설명을 하지만, 아래 그림과 같은 방식을 사용할 수 없다는 것입니다.
이러한 접근을 하지 말고, angular 에서 제공하는 UI 그리는 방식을 사용하라는 의미로 이해하시면 되겠습니다.
![Untitled](Frontend%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%20%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-jQuery%20%E1%84%8B%E1%85%AA%20DOM%20%E1%84%8C%E1%85%A5%E1%86%B8%E1%84%80%E1%85%B3%E1%86%AB%E1%84%8B%E1%85%B3%E1%86%AF%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%204665a934b8464af0af3b00444f341de1/Untitled.png)"
"Frontend 개발 가이드-LeftMenu(nav-state:xs,md) 스크롤 시 2depth 메뉴 위치 이슈","salevis4 버전에서 메뉴를 가장 작게 한 상태에서 스크롤 시 메뉴 위치가 변경되는 이슈가 있습니다.
많은 프로젝트에서 해당 소스를 사용하고 있는것으로 확인되는데요.
```
salevis-web-default\src\components\ui-component\layout\sidebar\sidebar.component.js
```
```jsx
$("".sidebar-nav > ul > li"").hover(function(e) {
.................
var offset = $(this).offset();
$(this).find(""> ul"").css(""top"", offset.top);
```
부분을 아래와 같이 변경 해주시기 바랍니다.
```jsx
var offset = $(this).position();
$(this).find(""> ul"").css(""top"", offset.top + $(this).height()+5);
```"
Frontend 개발 가이드-ng-required 사용방법,"```xml
<form ng-submit=""vc.setData()"">
<button type=""submit"">등록</button>
<input type=""text"" name=""이름"" ng-required=""true"">
</form>
입력필드를 입력하지 않고 submit 을 하면 다음과 같이 UI가 표시됩니다.
```
![Untitled](Frontend%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%20%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-ng-required%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%87%E1%85%A1%E1%86%BC%E1%84%87%E1%85%A5%E1%86%B8%206f751f7824cf4f37be649aa7d4369a2d/Untitled.png)
```swift
<form> 태그 안에 있는 button 에서 submit 을 하지 않고, ng-click 으로 처리해야 될 버튼이 있을 때,
<button type=""button""> 과 같이 type 을 ""button"" 으로 지정해 주어야 됩니다. 그렇지 않으면 ng-click 시 submit 이 발생합니다.
common-code-custom 은 다음과 같이 수정합니다.
common-code-custom-directive.js
if(iAttrs.isDisabled != undefined) $select.attr(""ng-disabled"", iAttrs.isDisabled);
if(iAttrs.isRequired != undefined) $select.attr(""ng-required"", iAttrs.isRequired); // 새로 추가
추가/수정 화면용 html 파일
<common-code-custom
is-required=""true""  /* 새로추가 */
>
common-code 는 다음과 같이 수정합니다.
common-code-directive.js
scope : {
isRequried : ""="" // 추가
}
scope.$watchCollection('isRequired', function(value) {
//console.log('isDisabled=', scope.isDisabled);
if (ctrl.isRequired != undefined)
ctrl.isRequired = scope.isRequired;
});
common-code-ctrl.js
vm.isRequired = false; // 추가
common-code-html
<select
ng-required=""ccCtrl.isRequired"" /* 새로추가 */
>
추가/수정 화면용 html 파일
<common-code
is-required=""true""  /* 새로추가 */
>
```"
"Frontend 개발 가이드-Region 사용, 함수 parameter 주석 추가","```csharp
*** Frontend 코딩시 #region 사용과 함수 주석 규칙 통일 ***
javascript 코딩시 아래 규칙을 통일되게 적용하여 코드 가독성을 향상 시켰으면 좋겠습니다.
1. #region , #endregion 사용
//#region 사용
아래와 같이 동일한 속성의 코드 그룹에 대해서는 #region을 이용하여 묶어 주면
VS Code에서 접힘/ 펼침을 사용 할수 있습니다.
//#region 함수 구현
function foo() {
alert('blah');
}
//#endregion 함수 구현
2. 함수 주석에 parameter 표기
/**
* keyId를 이용하여 존재여부 검사
* @param {*} keyId
*/
function check(keyId) {
/* blah~blah! */
}
```"
